index,latitude,longitude,open_datetime,closed_datetime
1,37.737457,-122.197412,1632484800.0,1632531600.0
2,37.660518,-122.085634,1632484800.0,1632531600.0
3,37.510929,-122.265387,1632484800.0,1632531600.0
4,37.468452,-122.43279,1632484800.0,1632531600.0
5,37.893844,-122.054286,1632484800.0,1632531600.0
7,37.963967,-121.989257,1632484800.0,1632538800.0
8,37.534275,-122.000694,1632484800.0,1632531600.0
9,38.185169,-122.254537,1632484800.0,1632546000.0
10,38.254609,-122.636133,1632484800.0,1632546000.0
12,37.25265,-121.83113,1632484800.0,1632538800.0
14,37.738069,-121.452546,1632481200.0,1632535200.0
15,38.528552,-122.789532,1632488400.0,1632546000.0
16,36.983624,-122.022571,1632484800.0,1632546000.0
20,37.689031,-121.012862,1632484800.0,1632538800.0
21,38.759664,-121.310437,1632484800.0,1632535200.0
22,38.678148,-121.195579,1632484800.0,1632535200.0
23,39.16276,-122.91957,1632484800.0,1632546000.0
24,39.162839,-122.919996,1632484800.0,1632553200.0
25,39.141582,-121.63224,1632484800.0,1632535200.0
26,36.9754,-120.080623,1632492000.0,1632546000.0
27,36.325734,-119.672434,1632484800.0,1632549600.0
29,39.53539,-119.716096,1632483000.0,1632528000.0
30,36.312772,-119.313502,1632484800.0,1632546000.0
31,34.934762,-120.435841,1632484800.0,1632546000.0
32,35.36896,-119.145671,1632484800.0,1632542400.0
33,35.380535,-119.022692,1632484800.0,1632538800.0
34,34.440184,-119.745805,1632484800.0,1632535200.0
36,34.219721,-119.038738,1632484800.0,1632535200.0
37,34.42586,-118.538832,1632484800.0,1632535200.0
38,34.675306,-118.148267,1632483000.0,1632535200.0
39,34.408003,-118.461717,1632484800.0,1632535200.0
40,34.156108,-118.794431,1632484800.0,1632535200.0
41,34.240816,-118.536425,1632484800.0,1632535200.0
42,34.168306,-118.606709,1632484800.0,1632535200.0
43,34.260468,-118.46696,1632484800.0,1632535200.0
44,34.201391,-118.449037,1632484800.0,1632538800.0
45,34.160017,-118.500837,1632484800.0,1632535200.0
46,34.18244,-118.30485,1632484800.0,1632546000.0
47,34.024299,-118.491685,1632484800.0,1632538800.0
48,34.101884,-118.32505,1632484800.0,1632538800.0
49,34.144953,-118.258822,1632510000.0,1632535200.0
50,33.992971,-118.442318,1632484800.0,1632538800.0
51,34.116177,-118.262442,1632484800.0,1632542400.0
52,34.04438,-118.328307,1632484800.0,1632538800.0
53,34.043373,-118.30925,1632484800.0,1632531600.0
