bibtex	year	author	title	url	venue	ML-Formal	ML-Instrumental	ML-Personal	Domain-Formal	Domain-Instrumental	Domain-Personal	Milieu-Formal	Milieu-Instrumental	Milieu-Personal	codes
cai_hello_2019	2019	"Cai, Carrie J.; Winter, Samantha; Steiner, David; Wilcox, Lauren; Terry, Michael"	Hello AI: Uncovering the Onboarding Needs of Medical Practitioners for Human-AI Collaborative Decision-Making	https://dl.acm.org/doi/10.1145/3359206	Proceedings of the ACM on Human-Computer Interaction		"medical experts’ increasing familiarity with [computer-aided diagnosis] systems; ""user expectations of an AI’s performance and metrics can be strongly anchored to their prior experience with detection-based models (section 5.1.1); as seen in our study, this can sometimes yield unrealistic expectations."""		pathologists	clinicians			"“More variation is better...Covering from community hospital small groups, to academic medical centers, it’s more representative.” (P16)"		"G1: ""global transparency questions could be key to forming an accurate initial impression of an ML-based system""; O4: ""struggled to determine the extent to which its diagnostic process could be similar to or different from their own""; O7: “It’s hard for me to know how much to trust when I see things that I don’t completely agree with.”"
lakkaraju_how_2020	2020	"Lakkaraju, Himabindu; Bastani, Osbert"	How do I fool you?: Manipulating User Trust via Misleading Black Box Explanations	https://doi.org/10.1145/3375627.3375833	"Proceedings of the AAAI/ACM Conference on AI, Ethics, and Society"				"Each participant is a student enrolled in a law school,  ""Each participant acknowledged having in-depth knowledge (16 participants) or at least some familiarity (31 participants) with the bail decision making process. """						G2
mohseni_human-grounded_2020	2020	"Mohseni, Sina; Block, Jeremy E.; Ragan, Eric D."	A Human-Grounded Evaluation Benchmark for Local Explanations of Machine Learning	http://arxiv.org/abs/1801.05075	arXiv:1801.05075 [cs]										"G1: ""the ultimate goal is for people to understand machine models"""
mohseni_multidisciplinary_2020	2020	"Mohseni, Sina; Zarei, Niloofar; Ragan, Eric D."	A Multidisciplinary Survey and Framework for Design and Evaluation of Explainable AI Systems	http://arxiv.org/abs/1811.11839	arXiv:1811.11839 [cs]	AI experts are machine learning scientists and engineers who design machine learning algorithms	"Data experts include data scientists and domain experts who use machine learning for analysis, decision-making, or research"						AI novices refer to end-users who use AI products in daily life		"G2: ""User Trust and Reliance""; O5: ""Machine learning explanations can disclose to end-users what user data is being used in algorithmic decision-making"", bias mitigation, privacy awareness; O1: ""help data experts to tune machine learning parameters for their specific data"", model debugging"
yu_user-based_2018	2018	"Yu, Rulei; Shi, Lei"	A user-based taxonomy for deep learning visualization	http://www.sciencedirect.com/science/article/pii/S2468502X1830038X	Visual Informatics	"Experts: This group of users are experienced in deep learning, and they wish to have a brief idea of the research field in deep learning visualization."	"Practitioners: Users who already have some experience and understand what deep learning is. They want to get the intuition of how the architectures look like when dealing with deep learning models.  ""Developers: Users who design and improve deep learning models, find it difficult to debug during training process and tune the parameters."""	It is essential for experts and developers to quickly build the intuition of how the network looks like							"O6: learning about ML, ""They want to get the intuition of how the architectures look like when dealing with deep learning models""; O4: ""While it is difficult for users to comprehend the results of representation learning, analysis of the complicated and superimposed deep neural networks can be very challenging""; O1: ""optimizing the model of specific tasks, accelerating the training, or fine-tuning the parameters"""
boukhelifa_exploratory_2019	2019	"Boukhelifa, Nadia; Bezerianos, Anastasia; Trelea, Ioan Cristian; Perrot, Nathalie Méjean; Lutton, Evelyne"	An Exploratory Study on Visual Exploration of Model Simulations by Multiple Types of Experts	http://dl.acm.org/citation.cfm?doid=3290605.3300874	Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems - CHI '19	model builders	optimization expertise		agronomic engineers	only specialists in part of the underlying process					"O4: Explaining findings through storytelling to collaborators; T1: ""Identify and explain an outlier"""
bansal_beyond_2019	2019	"Bansal, Gagan; Nushi, Besmira; Kamar, Ece; Lasecki, Walter; Weld, Daniel S; Horvitz, Eric"	Beyond Accuracy: The Role of Mental Models in Human-AI Team Performance	https://www.aaai.org/ojs/index.php/HCOMP/article/download/5285/5137	HCOMP 2019				"AI inferences to help human experts make better decisions, e.g., with respect to medical diagnoses, recidivism prediction, and credit assessment"						G1; T5: understanding model error from predictions
raji2020closing	2020	"Raji, Inioluwa Deborah; Smart, Andrew; White, Rebecca N.; Mitchell, Margaret; Gebru, Timnit; Hutchinson, Ben; Smith-Loud, Jamila; Theron, Daniel; Barnes, Parker"	Closing the AI accountability gap: defining an end-to-end framework for internal algorithmic auditing	http://dl.acm.org/doi/10.1145/3351095.3372873	"Proceedings of the 2020 Conference on Fairness, Accountability, and Transparency"					Internal financial auditors				"what type of model behavior might be experienced by different cultural, demographic or phenotypic groups."	"O2: ""frameworks through which independent audits can demonstrate adherence to standards""; T2: ""it is incumbent on producers of artificial intelligence systems to anticipate ethics-related failures before launch""; T3: ""data entanglement"""
byrne_counterfactuals_2019	2019	"Byrne, Ruth M. J."	Counterfactuals in Explainable Artificial Intelligence (XAI): Evidence from Human Reasoning	https://www.ijcai.org/proceedings/2019/876	Proceedings of the Twenty-Eighth International Joint Conference on Artificial Intelligence										"G2: ""To increase trust in such systems by human users""; O4: ""It enables the user to consider contrastive explanations and counterfactual analyses, such as why one decision was made instead of another"""
chromik_dark_2019	2019	"Chromik, Michael; Eiband, Malin; Völkel, Sarah Theres; Buschek, Daniel"	"Dark Patterns of Explainability, Transparency, and User Control for Intelligent Systems"	http://ceur-ws.org/Vol-2327/IUI19WS-ExSS2019-7.pdf	IUI Workshops 2019						operators might be more interested how well the system’s conceptual model fits their mental model 				"T4: ""interested in the factors influencing their individual decision""; O1; O5; O7: ""present an incontestable subset of reasons to the bank employee"""
bansal_does_2020	2020	"Bansal, Gagan; Wu, Tongshuang; Zhou, Joyce; Fok, Raymond; Nushi, Besmira; Kamar, Ece; Ribeiro, Marco Tulio; Weld, Daniel S."	Does the Whole Exceed its Parts? The Effect of AI Explanations on Complementary Team Performance	http://arxiv.org/abs/2006.14779	arXiv:2006.14779 [cs]				"doctors, judges"					"Turkers doing sentiment analysis, ""followed my own discretion"""	"G2: build appropriate trust; O4; T1: ""may have learned to rely on [the explanations] less""; T5: ""know when to trust the AI’s suggestion and when to be skeptical"""
wolf_explainability_2019	2019	"Wolf, Christine T."	Explainability scenarios: towards scenario-based XAI design	https://dl.acm.org/doi/10.1145/3301275.3302317	Proceedings of the 24th International Conference on Intelligent User Interfaces									"we see how a range of actors must make sense of an AI output – yet each of these actors bring their own points-of-view and own priorities, which can sometimes be in conflict. "	"O7: contest AI recommendation about assisted living; T2: bias detection, ""consider the experimental system’s predictions with their established ways of monitoring ADLs"""
