Color,Year,Rank
White (solid+pearl),2000,2
Red,2000,4
Gold/yellow,2000,10
Silver,2000,1
Green,2000,6
Brown/beige,2000,8
Blue,2000,7
Black (solid+effect),2000,5
Other,2000,3
Gray,2000,9
White (solid+pearl),2001,2
Red,2001,4
Gold/yellow,2001,9
Silver,2001,1
Green,2001,7
Brown/beige,2001,8
Blue,2001,5
Black (solid+effect),2001,3
Other,2001,6
Gray,2001,10
White (solid+pearl),2002,2
Red,2002,6
Gold/yellow,2002,10
Silver,2002,1
Green,2002,9
Brown/beige,2002,8
Blue,2002,4
Black (solid+effect),2002,3
Other,2002,5
Gray,2002,7
White (solid+pearl),2003,2
Red,2003,4
Gold/yellow,2003,10
Silver,2003,1
Green,2003,9
Brown/beige,2003,7
Blue,2003,6
Black (solid+effect),2003,3
Other,2003,8
Gray,2003,5
White (solid+pearl),2004,2
Red,2004,6
Gold/yellow,2004,10
Silver,2004,1
Green,2004,8
Brown/beige,2004,5
Blue,2004,4
Black (solid+effect),2004,3
Other,2004,9
Gray,2004,7
White (solid+pearl),2005,2
Red,2005,6
Gold/yellow,2005,9
Silver,2005,1
Green,2005,8
Brown/beige,2005,7
Blue,2005,4
Black (solid+effect),2005,5
Other,2005,10
Gray,2005,3
White (solid+pearl),2006,2
Red,2006,6
Gold/yellow,2006,9
Silver,2006,1
Green,2006,8
Brown/beige,2006,7
Blue,2006,5
Black (solid+effect),2006,3
Other,2006,10
Gray,2006,4
White (solid+pearl),2007,1
Red,2007,4
Gold/yellow,2007,8
Silver,2007,2
Green,2007,9
Brown/beige,2007,7
Blue,2007,5
Black (solid+effect),2007,3
Other,2007,10
Gray,2007,6
White (solid+pearl),2008,1
Red,2008,6
Gold/yellow,2008,9
Silver,2008,3
Green,2008,8
Brown/beige,2008,7
Blue,2008,4
Black (solid+effect),2008,2
Other,2008,10
Gray,2008,5
White (solid+pearl),2009,1
Red,2009,6
Gold/yellow,2009,9
Silver,2009,3
Green,2009,8
Brown/beige,2009,7
Blue,2009,5
Black (solid+effect),2009,2
Other,2009,10
Gray,2009,4
White (solid+pearl),2010,1
Red,2010,5
Gold/yellow,2010,9
Silver,2010,3
Green,2010,8
Brown/beige,2010,7
Blue,2010,6
Black (solid+effect),2010,2
Other,2010,10
Gray,2010,4
White (solid+pearl),2011,1
Red,2011,5
Gold/yellow,2011,8
Silver,2011,3
Green,2011,9
Brown/beige,2011,7
Blue,2011,6
Black (solid+effect),2011,2
Other,2011,10
Gray,2011,4
White (solid+pearl),2012,1
Red,2012,5
Gold/yellow,2012,8
Silver,2012,3
Green,2012,9
Brown/beige,2012,7
Blue,2012,6
Black (solid+effect),2012,2
Other,2012,10
Gray,2012,4
White (solid+pearl),2013,1
Red,2013,5
Gold/yellow,2013,8
Silver,2013,3
Green,2013,9
Brown/beige,2013,7
Blue,2013,6
Black (solid+effect),2013,2
Other,2013,10
Gray,2013,4
White (solid+pearl),2014,1
Red,2014,5
Gold/yellow,2014,8
Silver,2014,4
Green,2014,9
Brown/beige,2014,7
Blue,2014,6
Black (solid+effect),2014,2
Other,2014,10
Gray,2014,3
White (solid+pearl),2015,1
Red,2015,5
Gold/yellow,2015,8
Silver,2015,4
Green,2015,9
Brown/beige,2015,7
Blue,2015,6
Black (solid+effect),2015,2
Other,2015,10
Gray,2015,3
